id,name,description,price,stock,category,image
23,Xiaomi 13T Pro,"6.67in AMOLED 144Hz, 256GB, Dimensity 9200+, 50MP Leica camera",780000.00,10,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Shibuya-Tokyo---2024-08-28_064.jpg/330px-Shibuya-Tokyo---2024-08-28_064.jpg
24,Oppo A78,"6.43in AMOLED, 128GB, 5000mAh, 50MP camera, 67W SUPERVOOC charge",230000.00,25,Smartphones & Tablets,products/p24.jpg
25,Oppo Reno10 Pro,"6.74in AMOLED 120Hz, 256GB, 50MP triple camera, 80W fast charge",580000.00,12,Smartphones & Tablets,products/p25.jpg
26,Vivo Y36,"6.64in IPS, 128GB, 5000mAh, 50MP camera, 44W FlashCharge, slim",195000.00,28,Smartphones & Tablets,products/p26.jpg
27,Vivo V29,"6.78in AMOLED 120Hz, 256GB, 50MP OIS camera, 4600mAh, 80W charge",520000.00,14,Smartphones & Tablets,products/p27.jpg
28,Huawei Nova 11i,"6.8in IPS, 128GB, 6000mAh, 48MP camera, EMUI 13, 40W fast charge",210000.00,20,Smartphones & Tablets,products/p28.jpg
29,Nokia G42 5G,"6.56in IPS, 128GB, 5000mAh, 50MP camera, 20W charge, 3yr OS updates",185000.00,22,Smartphones & Tablets,products/p29.jpg
30,Motorola Moto G84,"6.55in pOLED 120Hz, 256GB, 50MP OIS camera, 5000mAh, 33W TurboPower",280000.00,18,Smartphones & Tablets,products/p30.jpg
31,Itel P40,"6.6in IPS, 64GB, 6000mAh ultra battery, 13MP camera, ultra affordable",75000.00,60,Smartphones & Tablets,products/p31.jpg
32,Samsung Galaxy Tab A8,"10.5in TFT, 64GB, 7040mAh, Android 11, 8MP camera, for students",320000.00,18,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Samsung_Galaxy_Tab_A8.jpg/330px-Samsung_Galaxy_Tab_A8.jpg
33,Samsung Galaxy Tab S9 FE,"10.9in TFT 90Hz, 128GB, Exynos 1380, 8000mAh, S Pen, IP68",580000.00,10,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Samsung_Galaxy_Tab_S9.png/330px-Samsung_Galaxy_Tab_S9.png
34,iPad 10th Generation,"10.9in Liquid Retina, 64GB, A14 Bionic, 12MP camera, USB-C",750000.00,10,Smartphones & Tablets,products/p34.jpg
35,iPad Air M1,"10.9in Liquid Retina, 64GB, M1 chip, 12MP camera, USB-C, Touch ID",1050000.00,7,Smartphones & Tablets,products/p35.jpg
36,Xiaomi Pad 6,"11in IPS 144Hz, 128GB, Snapdragon 870, 8840mAh, 33W fast charge",420000.00,12,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Xiaomi_Pad_6_display.jpg/330px-Xiaomi_Pad_6_display.jpg
37,Lenovo Tab M10 Plus,"10.6in 2K IPS, 64GB, Helio G80, 7700mAh, 4G LTE, kids mode",220000.00,20,Smartphones & Tablets,products/p37.jpg
38,Samsung Galaxy Buds2 Pro,"True wireless ANC earbuds, IPX7, 8hr battery + 29hr case",180000.00,30,Smartphones & Tablets,products/p38.jpg
39,Apple AirPods Pro 2nd Gen,"True wireless ANC earbuds, H2 chip, 6hr battery, MagSafe case",280000.00,12,Smartphones & Tablets,products/p39.jpg
40,Jabra Elite 4 Active,"True wireless ANC earbuds, IP57, 7hr battery, multipoint",120000.00,20,Smartphones & Tablets,products/p40.jpg
41,Samsung Galaxy A05s,"6.7in PLS LCD, 64GB, 5000mAh, 50MP triple camera, Snapdragon 680",115000.00,45,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Samsung_Galaxy_A05s_2024.jpg/330px-Samsung_Galaxy_A05s_2024.jpg
42,Tecno Pop 7 Pro,"6.6in IPS, 64GB, 5000mAh, 13MP camera, face unlock, entry level",65000.00,70,Smartphones & Tablets,products/p42.jpg
43,Infinix Smart 8,"6.6in IPS, 64GB, 5000mAh, 13MP camera, Android 13 Go, affordable",70000.00,65,Smartphones & Tablets,products/p43.jpg
44,Xiaomi Redmi 13C,"6.74in IPS, 128GB, 5000mAh, 50MP camera, Helio G85, 18W charge",140000.00,40,Smartphones & Tablets,products/p44.jpg
45,Realme C55,"6.72in IPS 90Hz, 128GB, 5000mAh, 64MP camera, 33W fast charge",175000.00,32,Smartphones & Tablets,products/p45.jpg
46,Google Pixel 7a,"6.1in OLED 90Hz, 128GB, Google Tensor G2, 64MP camera, 5G, IP67",680000.00,8,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Pixel_7a_%282023%29.svg/330px-Pixel_7a_%282023%29.svg.png
47,OnePlus Nord CE3 Lite,"6.72in IPS 120Hz, 128GB, 5000mAh, 108MP camera, 67W SUPERVOOC",310000.00,20,Smartphones & Tablets,products/p47.jpg
48,Realme GT5,"6.74in AMOLED 144Hz, 256GB, Snapdragon 8 Gen 2, 50MP camera, 240W charge",850000.00,8,Smartphones & Tablets,products/p48.jpg
49,Itel A70,"6.6in IPS, 256GB, 5000mAh, 13MP camera, 10W charge, budget Rwanda",55000.00,80,Smartphones & Tablets,products/p49.jpg
50,Samsung Galaxy M34 5G,"6.5in Super AMOLED 120Hz, 128GB, 6000mAh, 50MP triple camera",260000.00,25,Smartphones & Tablets,products/p50.jpg
51,Tecno Spark Go 2024,"6.56in IPS, 64GB, 5000mAh, 13MP camera, face unlock, very affordable",50000.00,90,Smartphones & Tablets,products/p51.jpg
52,Xiaomi Poco X5 Pro,"6.67in AMOLED 120Hz, 256GB, Snapdragon 778G, 108MP camera, 67W",380000.00,18,Smartphones & Tablets,products/p52.jpg
53,Oppo A17,"6.56in IPS, 64GB, 5000mAh, 50MP camera, 33W fast charge, slim design",145000.00,38,Smartphones & Tablets,products/p53.jpg
54,Vivo Y16,"6.51in IPS, 64GB, 5000mAh, 13MP camera, 15W charge, budget phone",110000.00,42,Smartphones & Tablets,products/p54.jpg
55,Nokia C32,"6.52in IPS, 64GB, 5000mAh, 50MP camera, 18W charge, 3yr OS guarantee",95000.00,48,Smartphones & Tablets,products/p55.jpg
56,Motorola Moto E13,"6.5in IPS, 64GB, 5000mAh, 13MP camera, Android 13 Go, affordable",80000.00,55,Smartphones & Tablets,products/p56.jpg
57,HP Laptop 15s,"Intel Core i5-12th Gen, 8GB RAM, 512GB SSD, 15.6in FHD, Windows 11",750000.00,15,Laptops & Computers,products/p57.jpg
58,Dell Inspiron 15,"Intel Core i7-12th Gen, 16GB RAM, 512GB SSD, 15.6in FHD, backlit keyboard",950000.00,10,Laptops & Computers,products/p58.jpg
59,Lenovo IdeaPad 3,"AMD Ryzen 5, 8GB RAM, 256GB SSD, 15.6in FHD, Windows 11, for students",620000.00,18,Laptops & Computers,products/p59.jpg
60,MacBook Air M2,"Apple M2 chip, 8GB RAM, 256GB SSD, 13.6in Liquid Retina, 18hr battery",1650000.00,6,Laptops & Computers,products/p60.jpg
61,Asus VivoBook 15,"Intel Core i5, 8GB RAM, 512GB SSD, 15.6in FHD OLED display",680000.00,12,Laptops & Computers,products/p61.jpg
62,HP EliteBook 840 G9,"Intel Core i7, 16GB RAM, 512GB SSD, 14in FHD, business laptop",1200000.00,8,Laptops & Computers,products/p62.jpg
63,Acer Aspire 5,"Intel Core i5, 8GB RAM, 512GB SSD, 15.6in FHD IPS, slim design",640000.00,14,Laptops & Computers,products/p63.jpg
64,Lenovo ThinkPad E15,"Intel Core i7, 16GB RAM, 512GB SSD, 15.6in FHD, MIL-SPEC durability",1100000.00,7,Laptops & Computers,products/p64.jpg
65,HP Desktop PC i5,"Intel Core i5, 8GB RAM, 1TB HDD + 256GB SSD, Windows 11, keyboard+mouse",580000.00,10,Laptops & Computers,products/p65.jpg
66,Dell 24in Monitor FHD,"24in Full HD IPS, 75Hz, HDMI+VGA, slim bezel, eye-care technology",180000.00,20,Laptops & Computers,products/p66.jpg
67,Logitech MX Keys Keyboard,"Wireless backlit keyboard, multi-device, USB-C rechargeable, quiet keys",65000.00,30,Laptops & Computers,products/p67.jpg
68,Logitech MX Master 3 Mouse,"Wireless ergonomic mouse, 4000 DPI, MagSpeed scroll, multi-device",55000.00,35,Laptops & Computers,products/p68.jpg
69,MacBook Pro M3 14in,"Apple M3 chip, 8GB RAM, 512GB SSD, 14.2in Liquid Retina XDR, 22hr battery",2200000.00,4,Laptops & Computers,products/p69.jpg
70,Dell XPS 15,"Intel Core i7-13th Gen, 16GB RAM, 512GB SSD, 15.6in OLED 3.5K, premium",1850000.00,5,Laptops & Computers,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/DELL_XPS_13_and_15_%2837080596413%29.jpg/330px-DELL_XPS_13_and_15_%2837080596413%29.jpg
71,Asus ROG Strix G15,"AMD Ryzen 9, 16GB RAM, 512GB SSD, RTX 3060, 15.6in 144Hz, gaming",1400000.00,6,Laptops & Computers,products/p71.jpg
72,HP Pavilion Gaming 15,"Intel Core i5, 8GB RAM, 512GB SSD, GTX 1650, 15.6in 144Hz, gaming",980000.00,9,Laptops & Computers,products/p72.jpg
73,Lenovo Legion 5,"AMD Ryzen 7, 16GB RAM, 512GB SSD, RTX 3060, 15.6in 165Hz, gaming",1350000.00,7,Laptops & Computers,products/p73.jpg
74,Acer Nitro 5,"Intel Core i5, 8GB RAM, 512GB SSD, RTX 3050, 15.6in 144Hz, gaming",880000.00,10,Laptops & Computers,products/p74.jpg
75,Microsoft Surface Pro 9,"Intel Core i5, 8GB RAM, 256GB SSD, 13in PixelSense, 2-in-1 tablet",1500000.00,5,Laptops & Computers,products/p75.jpg
76,HP 27in 4K Monitor,"27in 4K UHD IPS, 60Hz, USB-C, HDMI, DisplayPort, eye-care",320000.00,12,Laptops & Computers,products/p76.jpg
77,Samsung 27in Curved Monitor,"27in FHD VA curved, 75Hz, AMD FreeSync, HDMI, slim bezel",220000.00,15,Laptops & Computers,products/p77.jpg
78,Logitech C920 Webcam,"1080p HD webcam, autofocus, stereo mic, USB, for video calls",55000.00,25,Laptops & Computers,products/p78.jpg
79,HP LaserJet Pro M15w,"Wireless laser printer, 19ppm, USB+WiFi, compact, Windows/Mac",180000.00,10,Laptops & Computers,products/p79.jpg
80,Canon PIXMA G3420,"Wireless inkjet printer, print/scan/copy, refillable ink tank, WiFi",145000.00,12,Laptops & Computers,products/p80.jpg
81,WD 1TB External HDD,"USB 3.0 portable hard drive, 1TB, slim design, plug-and-play",45000.00,40,Laptops & Computers,products/p81.jpg
82,Samsung 1TB SSD T7,"Portable SSD, 1TB, USB 3.2, 1050MB/s read, compact, shock-resistant",95000.00,19,Laptops & Computers,products/p82.jpg
83,Kingston 16GB USB Flash,"USB 3.2 flash drive, 16GB, 200MB/s read, compact, durable",8000.00,80,Laptops & Computers,products/p83.jpg
84,Corsair 16GB DDR4 RAM,"16GB DDR4 3200MHz, desktop RAM, CL16, compatible with Intel/AMD",45000.00,25,Laptops & Computers,products/p84.jpg
85,Intel Core i5-12400 CPU,"12th Gen, 6 cores, 12 threads, 4.4GHz boost, LGA1700, 65W TDP",180000.00,10,Laptops & Computers,products/p85.jpg
86,Nvidia GTX 1650 GPU,"4GB GDDR6, 1665MHz boost, HDMI+DP, low power, gaming graphics card",280000.00,8,Laptops & Computers,products/p86.jpg
87,Asus 24in FHD Monitor,"24in IPS FHD, 75Hz, HDMI+VGA, ultra-slim, flicker-free, eye care",120000.00,18,Laptops & Computers,products/p87.jpg
88,Lenovo IdeaPad 1,"Intel Celeron, 4GB RAM, 128GB SSD, 14in HD, Windows 11 S, budget",320000.00,20,Laptops & Computers,products/p88.jpg
89,Acer Chromebook 314,"Intel Celeron, 4GB RAM, 64GB eMMC, 14in FHD, ChromeOS, 12hr battery",280000.00,15,Laptops & Computers,products/p89.jpg
90,HP Stream 14,"Intel Celeron, 4GB RAM, 64GB eMMC, 14in HD, Windows 11 S, ultra budget",250000.00,18,Laptops & Computers,products/p90.jpg
91,Dell Vostro 15,"Intel Core i5, 8GB RAM, 256GB SSD, 15.6in FHD, business laptop",720000.00,10,Laptops & Computers,products/p91.jpg
92,Asus ZenBook 14,"Intel Core i5, 8GB RAM, 512GB SSD, 14in FHD OLED, slim 1.39kg",950000.00,8,Laptops & Computers,products/p92.jpg
93,Razer DeathAdder V3,"Wired gaming mouse, 30000 DPI, 90hr battery, Focus Pro sensor",85000.00,15,Laptops & Computers,products/p93.jpg
94,HyperX Alloy Origins Keyboard,"Mechanical gaming keyboard, RGB, HyperX Red switches, USB-C",95000.00,12,Laptops & Computers,products/p94.jpg
95,Anker USB-C Hub 7-in-1,"USB-C hub, 4K HDMI, 3x USB-A, SD card, 100W PD, compact",35000.00,30,Laptops & Computers,products/p95.jpg
96,TP-Link WiFi 6 Router,"AX1800 dual-band WiFi 6, 4 antennas, MU-MIMO, 1.5GHz CPU",95000.00,15,Laptops & Computers,products/p96.jpg
97,Samsung 43in Smart TV 4K,"43in Crystal UHD 4K, HDR, Tizen OS, Netflix/YouTube, 3 HDMI",550000.00,12,TV & Audio,products/p97.jpg
98,LG 55in OLED Smart TV,"55in OLED 4K, 120Hz, webOS, Dolby Vision, AI ThinQ, perfect blacks",1450000.00,5,TV & Audio,products/p98.jpg
99,Hisense 32in Smart TV,"32in HD Smart TV, VIDAA OS, Netflix/YouTube, 2 HDMI, budget",220000.00,20,TV & Audio,products/p99.jpg
100,Sony 50in Bravia 4K,"50in 4K HDR, X1 processor, Android TV, Google Assistant, Dolby Atmos",780000.00,8,TV & Audio,products/p100.jpg
101,JBL Charge 5 Speaker,"Portable Bluetooth speaker, 20hr battery, IP67 waterproof, PartyBoost",120000.00,25,TV & Audio,products/p101.jpg
102,Sony WH-1000XM5 Headphones,"Wireless noise-cancelling, 30hr battery, Hi-Res Audio, foldable",280000.00,15,TV & Audio,products/p102.jpg
103,Samsung Soundbar HW-B450,"2.1ch soundbar, 300W, Dolby Audio, Bluetooth, wireless subwoofer",180000.00,10,TV & Audio,products/p103.jpg
104,JBL Flip 6 Speaker,"Portable Bluetooth speaker, 12hr battery, IP67, bold sound, USB-C",85000.00,30,TV & Audio,products/p104.jpg
105,Bose QuietComfort 45,"Wireless noise-cancelling headphones, 24hr battery, premium comfort",320000.00,8,TV & Audio,products/p105.jpg
106,Xiaomi Mi TV Stick 4K,"Streaming stick, 4K HDR, Android TV, Google Assistant, Chromecast",45000.00,40,TV & Audio,products/p106.jpg
107,LG 43in Smart TV FHD,"43in Full HD, webOS, ThinQ AI, Netflix/YouTube, 3 HDMI, 2 USB",380000.00,15,TV & Audio,products/p107.jpg
108,TCL 55in QLED 4K TV,"55in QLED 4K, 60Hz, Android TV, Dolby Vision, HDR10+, 3 HDMI",650000.00,8,TV & Audio,products/p108.jpg
109,Hisense 55in 4K Smart TV,"55in 4K UHD, VIDAA OS, Dolby Vision, HDR10, 3 HDMI, 2 USB",520000.00,10,TV & Audio,products/p109.jpg
110,Sony HT-S400 Soundbar,"2.1ch soundbar, 330W, Bluetooth, HDMI ARC, X-Balanced speaker",220000.00,12,TV & Audio,products/p110.jpg
111,JBL Xtreme 3 Speaker,"Portable Bluetooth speaker, 15hr battery, IP67, PartyBoost, USB-C",180000.00,15,TV & Audio,products/p111.jpg
112,Anker Soundcore Q45 Headphones,"Wireless ANC headphones, 50hr battery, Hi-Res Audio, foldable",65000.00,20,TV & Audio,products/p112.jpg
113,Samsung 65in Crystal UHD,"65in 4K Crystal UHD, HDR, Tizen OS, Motion Xcelerator, 3 HDMI",850000.00,6,TV & Audio,products/p113.jpg
114,LG OLED C3 65in,"65in OLED evo 4K, 120Hz, G-Sync, Dolby Vision IQ, webOS 23",2200000.00,3,TV & Audio,products/p114.jpg
115,Philips 50in 4K Ambilight TV,"50in 4K UHD, Ambilight 3-sided, Android TV, P5 processor",680000.00,7,TV & Audio,products/p115.jpg
116,Bose SoundLink Flex,"Portable Bluetooth speaker, 12hr battery, IP67, PositionIQ",150000.00,18,TV & Audio,products/p116.jpg
117,Sony SRS-XB33 Speaker,"Portable Bluetooth speaker, 24hr battery, IP67, Extra Bass, USB-C",95000.00,22,TV & Audio,products/p117.jpg
118,Marshall Emberton II,"Portable Bluetooth speaker, 30hr battery, IP67, True Stereophonic",120000.00,15,TV & Audio,products/p118.jpg
119,Sennheiser HD 450BT,"Wireless headphones, ANC, 30hr battery, USB-C, foldable, Hi-Res",95000.00,18,TV & Audio,products/p119.jpg
120,JBL Tune 760NC,"Wireless ANC headphones, 35hr battery, USB-C, foldable, multipoint",75000.00,25,TV & Audio,products/p120.jpg
121,Xiaomi Redmi Buds 4 Pro,"True wireless ANC earbuds, 43dB noise cancel, 9hr battery, IP54",55000.00,30,TV & Audio,products/p121.jpg
122,Samsung Galaxy Buds FE,"True wireless ANC earbuds, 6hr battery + 21hr case, IPX2",95000.00,25,TV & Audio,products/p122.jpg
123,Hisense 40in FHD Smart TV,"40in Full HD, VIDAA OS, Netflix/YouTube, 2 HDMI, budget Rwanda",280000.00,18,TV & Audio,products/p123.jpg
124,TCL 32in HD Smart TV,"32in HD, Android TV, Google Assistant, 2 HDMI, budget friendly",185000.00,22,TV & Audio,products/p124.jpg
125,Xiaomi TV A2 43in,"43in FHD, Android TV 11, Google Assistant, Chromecast, 3 HDMI",320000.00,14,TV & Audio,products/p125.jpg
126,Polk Audio Signa S2 Soundbar,"2.1ch soundbar, 80W, Dolby Digital, Bluetooth, HDMI ARC",145000.00,10,TV & Audio,products/p126.jpg
127,Samsung 253L Refrigerator,"Double door, frost-free, digital inverter, energy saving, silver",650000.00,8,Home Appliances,products/p127.jpg
128,LG 7kg Washing Machine,"Front load, 1400 RPM, steam wash, AI DD technology, energy A+++",580000.00,6,Home Appliances,products/p128.jpg
129,Hisense 150L Refrigerator,"Single door, direct cool, low energy, ideal for small homes",280000.00,15,Home Appliances,products/p129.jpg
130,Ramtons Microwave 20L,"20L solo microwave, 700W, 5 power levels, defrost function, white",65000.00,20,Home Appliances,products/p130.jpg
131,Bruhm Gas Cooker 4-Burner,"4-burner gas cooker with oven, stainless steel, auto ignition",180000.00,12,Home Appliances,products/p131.jpg
132,Philips Air Fryer 4.1L,"4.1L, 1400W, rapid air technology, up to 90% less fat, digital",120000.00,18,Home Appliances,products/p132.jpg
133,Ramtons Electric Kettle 1.7L,"1.7L stainless steel, 2200W, auto shut-off, boil-dry protection",18000.00,50,Home Appliances,products/p133.jpg
134,Panasonic Rice Cooker 1.8L,"1.8L, 10 cups, keep-warm function, non-stick inner pot, steam tray",28000.00,35,Home Appliances,products/p134.jpg
135,Dyson V12 Vacuum Cleaner,"Cordless vacuum, 150AW suction, HEPA filtration, 60min battery",480000.00,5,Home Appliances,products/p135.jpg
136,Midea 1.5HP Split AC,"1.5HP inverter AC, 12000 BTU, WiFi control, energy saving, R32",420000.00,7,Home Appliances,products/p136.jpg
137,Blueflame Electric Heater,"2000W fan heater, 3 heat settings, overheat protection, portable",35000.00,25,Home Appliances,products/p137.jpg
138,Kenwood Stand Mixer 5L,"5L bowl, 1000W, 6 speeds, dough hook + whisk + beater, stainless",145000.00,10,Home Appliances,products/p138.jpg
139,Samsung 400L Refrigerator,"French door, no-frost, Twin Cooling Plus, 400L, energy saving",1200000.00,5,Home Appliances,products/p139.jpg
140,LG 9kg Washing Machine,"Top load, 700 RPM, TurboDrum, Smart Inverter, energy efficient",480000.00,8,Home Appliances,products/p140.jpg
141,Hisense 200L Refrigerator,"Double door, frost-free, 200L, energy saving, silver finish",420000.00,10,Home Appliances,products/p141.jpg
142,Bruhm 2-Burner Gas Cooker,"2-burner table top gas cooker, stainless steel, auto ignition",65000.00,20,Home Appliances,products/p142.jpg
143,Philips Blender 2L,"2L blender, 600W, 2 speeds + pulse, stainless steel blades, BPA-free",35000.00,25,Home Appliances,products/p143.jpg
144,Ramtons Sandwich Maker,"Non-stick sandwich maker, 750W, indicator light, cool-touch handle",12000.00,40,Home Appliances,products/p144.jpg
145,Midea 2HP Split AC,"2HP inverter AC, 18000 BTU, WiFi, self-cleaning, energy saving",580000.00,5,Home Appliances,products/p145.jpg
146,Panasonic Microwave 25L,"25L solo microwave, 900W, 6 power levels, defrost, child lock",85000.00,15,Home Appliances,products/p146.jpg
147,Kenwood Food Processor,"800W, 2.1L bowl, 6 attachments, slice/shred/blend/chop, stainless",95000.00,12,Home Appliances,products/p147.jpg
148,Dyson Purifier Hot+Cool,"Air purifier + heater + fan, HEPA H13, 360° filtration, WiFi",650000.00,4,Home Appliances,products/p148.jpg
149,LG Dishwasher 14 Place,"14 place settings, 6 programs, inverter direct drive, A++ energy",850000.00,4,Home Appliances,products/p149.jpg
150,Samsung Microwave 28L,"28L convection microwave, 900W, grill, ceramic enamel interior",120000.00,10,Home Appliances,products/p150.jpg
151,Bruhm 6-Burner Gas Cooker,"6-burner gas cooker with oven, stainless steel, auto ignition",280000.00,8,Home Appliances,products/p151.jpg
152,Philips Juicer 1.5L,"1.5L juicer, 400W, 2 speeds, XL feed tube, easy clean, BPA-free",28000.00,22,Home Appliances,products/p152.jpg
153,Ramtons Toaster 4-Slice,"4-slice toaster, 1500W, 7 browning levels, cancel/defrost/reheat",22000.00,30,Home Appliances,products/p153.jpg
154,Midea Chest Freezer 100L,"100L chest freezer, manual defrost, energy saving, white finish",280000.00,10,Home Appliances,products/p154.jpg
155,Hisense Washing Machine 7kg,"Top load, 700 RPM, 7kg, 8 programs, child lock, energy efficient",320000.00,10,Home Appliances,products/p155.jpg
156,Panasonic Iron 2400W,"2400W steam iron, non-stick soleplate, anti-drip, self-clean",18000.00,35,Home Appliances,products/p156.jpg
157,Kenwood Electric Grill,"2000W contact grill, non-stick plates, adjustable temperature",45000.00,15,Home Appliances,products/p157.jpg
158,Philips Pressure Cooker 6L,"6L electric pressure cooker, 12 programs, keep-warm, stainless",65000.00,12,Home Appliances,products/p158.jpg
159,Ramtons Water Dispenser,"Hot & cold water dispenser, 3 taps, child safety lock, stainless",85000.00,10,Home Appliances,products/p159.jpg
160,Midea Portable AC 1HP,"1HP portable AC, 9000 BTU, no installation needed, remote control",320000.00,6,Home Appliances,products/p160.jpg
161,Samsung Robot Vacuum,"Robot vacuum, 2500Pa suction, LiDAR mapping, WiFi, auto-empty",580000.00,5,Home Appliances,products/p161.jpg
162,Men Slim Fit Chino Pants,"Stretch cotton chino, slim fit, khaki/navy/black, sizes 28-38",18000.00,60,Fashion Men,products/p162.jpg
163,Men Formal Dress Shirt,"100% cotton, long sleeve, slim fit, white/blue/grey, sizes S-XXL",12000.00,80,Fashion Men,products/p163.jpg
164,Men Polo Shirt,"Premium pique cotton polo, embroidered logo, sizes S-XXL, multi-color",8500.00,100,Fashion Men,products/p164.jpg
